customerID,Churn
4950-BDEUX,0
7993-NQLJE,0
7321-ZNSLA,0
4922-CVPDX,0
2903-YYTBW,0
8414-OOEEL,0
8562-GHPPI,0
8017-UVSZU,0
1972-XMUWV,0
2054-PJOCK,0
8250-ZNGGW,0
2075-RMJIK,0
6629-LADHQ,0
1810-MVMAI,0
0396-YCHWO,0
1303-SRDOK,0
2455-USLMV,0
5697-GOMBF,0
7469-LKBCI,0
7787-BNTZM,0
6726-WEXXK,0
5995-LFTLE,0
2984-TBYKU,0
7746-AWNQW,0
4851-BQDNX,0
4745-LSPLO,1
6941-PMGEP,1
9728-FTTVZ,1
7145-FEJWU,0
0306-JAELE,1
9435-JMLSX,0
5835-BEQEU,1
1577-HKTFG,1
9621-OUPYD,0
2207-RYYRL,0
0691-IFBQW,1
8270-RKSAP,0
0168-XZKBB,0
6789-HJBWG,0
7856-GANIL,0
8123-QBNAZ,0
6075-SLNIL,0
3373-YZZYM,0
1455-UGQVH,1
3640-JQGJG,0
3230-WYKIR,1
2580-ASVVY,0
2739-CCZMB,0
4503-BDXBD,1
9974-JFBHQ,0
4727-MCYZG,0
3990-QYKBE,1
6891-JPYFF,0
1626-ERCMM,1
8663-UPDGF,0
0839-QNXME,0
8990-YOZLV,0
1187-WILMM,0
4903-UYAVB,1
4884-LEVMQ,0
0702-PGIBZ,1
3716-LRGXK,0
5449-FIBXJ,1
6688-UZPWD,1
1254-IZEYF,1
0215-BQKGS,0
3785-KTYSH,0
8481-YYXWG,1
0549-CYCQN,0
2194-IIQOF,0
2481-SBOYW,0
3488-PGMQJ,1
8735-DCXNF,0
7176-WIONM,0
8548-AWOFC,0
6620-HVDUJ,0
8976-OQHGT,1
4951-UKAAQ,1
6693-DJWTY,0
6563-VNPMN,0
6333-YDVLT,0
6551-GNYDG,0
2405-LBMUW,0
9541-ZPSEA,0
6543-JXSOO,0
6968-GMKPR,0
4195-PNGZS,0
4646-QZXTF,0
7564-GHCVB,0
1534-OULXE,0
8348-JLBUG,0
8290-YWKHZ,1
6618-RYATB,1
0641-EVBOJ,0
3039-MJSLN,0
8661-BOYNW,0
4310-KEDTB,0
1116-DXXDF,0
8605-ITULD,0
8566-YPRGL,0
4355-CVPVS,0
8327-LZKAS,1
2080-SRCDE,0
4903-CNOZC,0
7314-OXENN,1
6869-FGJJC,0
9350-VLHMB,0
2995-YWTCD,0
8165-CBKXO,0
7853-OETYL,0
3352-RICWQ,0
6646-VRFOL,1
9391-TTOYH,0
9101-BWFSS,1
2080-GKCWQ,0
1074-WVEVG,0
0459-SPZHJ,0
8851-RAGOV,0
9921-ZVRHG,1
9253-VIFJQ,0
